Product,Price,Price per 100ml,URL
Avène Couvrance Fluido Maquiagem,,,
Cerave Hydrating Cleanser (2x1000ml),29.99,1.50,https://www.atida.com/pt-pt/cerave-creme-de-limpeza-hidratante-2x1-litro
Cerave Hydrating Cream To Foam Cleanser (473ml),15.88,3.36,https://aveirofarma.pt/cera-ve-creme-espuma-de-limpeza-hidratante-473ml
Cerave Micellar Water (2x295ml),15.99,2.71,https://www.atida.com/pt-pt/cerave-gua-micelar-2x295-ml
Dercos DS,18.64,,https://atuafarmacia.pt/products/dercos-anticaspa-ch-caspa-oleosa-390ml
LRP Anthelios UVMune 400 SPF50,19.99,,https://www.atida.com/pt-pt/la-roche-posay-anthelios-xl-50-creme-fondante-50ml-sem-perfume
LRP Anthelios UVMune 400 SPF50 - Oil control,19.67,,https://wells.pt/protetor-solar-anthelios-uvmune-400-spf50-5058410.html
Medik8 Crystal Retinal 3,52.00,,https://www.sabina.com/pt/cosmetica-facial-mulher/19562-medik8-crystal-retinal-3-30ml.html
Medik8 Crystal Retinal 6,68.80,,https://www.sabina.com/pt/cosmetica-facial-mulher/19563-medik8-crystal-retinal-6-30ml.html
Medik8 Duo,72.00,,https://www.sabina.com/pt/cosmetica-facial-mulher/35249-advanced-night-restore-50-ml-hydr8-b5-intense-30ml.html
Medik8 Super Ferrulic,69.60,,https://www.sabina.com/pt/cosmetica-facial-mulher/19591-medik8-super-c-ferulic-30-ml.html
Paradontax (500ml),9.99,2.00,https://wells.pt/elixir-cuidado-gengivas-7712480.html
Paradontax gums (500ml),8.78,1.76,https://wells.pt/elixir-cuidado-gengivas-7009519.html
Paradontax pasta (75ml),6.99,9.32,https://www.atida.com/pt-pt/parodontax-extra-fresh-complete-protection-75ml
Paradontax pasta gums (2x75ml),9.99,6.66,https://www.atida.com/pt-pt/parodontax-pasta-de-dentes-complete-protection-gengivas-2x75-ml
Paradontax pasta original (2x75ml),8.49,5.66,https://wells.pt/pasta-de-dentes-parodontax-original-7753557.html
