Product,Price,Price per 100ml,URL
Avène Couvrance Fluido Maquiagem,17.62,,https://wells.pt/couvrance-fluid-foundation-corrector-3.0-3599509.html
Cerave Hydrating Cleanser (1000ml),16.51,1.65,https://aveirofarma.pt/cerave-creme-hidratante-de-limpeza-1000ml-
Cerave Hydrating Cream To Foam Cleanser (473ml),14.78,3.12,https://wells.pt/hydrating-cream-to-foam-cleanser-8362148.html
Cerave Micellar Water (295ml),8.33,2.82,https://wells.pt/micellar-cleansing-water-6703198.html
Dercos DS (390ml),18.82,4.83,https://wells.pt/dercos-anti-pelicullaire-ds-shampooing-gras-285450.html#390ml
LRP Anthelios UVMune 400 SPF50,20.99,,https://www.atida.com/pt-pt/la-roche-posay-anthelios-xl-50-creme-fondante-50ml-sem-perfume
LRP Anthelios UVMune 400 SPF50 - Oil control,19.67,,https://wells.pt/protetor-solar-anthelios-uvmune-400-spf50-5058410.html
Medik8 Crystal Retinal 10,98.24,,https://www.sweetcare.pt/pt/medik8-vitamina-cristal-retinal-serum-noturno-retinal-p-017631kd?st=04
Medik8 Crystal Retinal 3,49.40,,https://www.sabina.com/pt/cosmetica-facial-mulher/19562-medik8-crystal-retinal-3-30ml.html
Medik8 Crystal Retinal 6,65.36,,https://www.sabina.com/pt/cosmetica-facial-mulher/19563-medik8-crystal-retinal-6-30ml.html
Medik8 Duo,68.40,,https://www.sabina.com/pt/cosmetica-facial-mulher/35249-advanced-night-restore-50-ml-hydr8-b5-intense-30ml.html
Medik8 Sleep Glycolic,37.24,,https://www.sabina.com/pt/cosmetica-facial-mulher/19590-medik8-sleep-glycolic-30ml.html
Medik8 Super Ferrulic,66.12,,https://www.sabina.com/pt/cosmetica-facial-mulher/19591-medik8-super-c-ferulic-30-ml.html
Paradontax (500ml),7.49,1.50,https://wells.pt/elixir-cuidado-gengivas-7712480.html
Paradontax gums (500ml),6.58,1.32,https://wells.pt/elixir-cuidado-gengivas-7009519.html
Paradontax pasta (2x75ml),7.49,4.99,https://wells.pt/pasta-de-dentes-parodontax-original-7753557.html
